r,P,m,rho
3.660000e-02,1.496459e+02,3.624466e-05,8.636029e+00
3.670000e-02,1.496416e+02,3.653150e-05,8.635958e+00
3.680000e-02,1.496374e+02,3.682069e-05,8.635887e+00
3.690000e-02,1.496331e+02,3.711223e-05,8.635815e+00
3.700000e-02,1.496288e+02,3.740613e-05,8.635743e+00
3.710000e-02,1.496245e+02,3.770242e-05,8.635671e+00
3.720000e-02,1.496202e+02,3.800109e-05,8.635598e+00
3.730000e-02,1.496158e+02,3.830217e-05,8.635525e+00
3.740000e-02,1.496115e+02,3.860567e-05,8.635451e+00
3.750000e-02,1.496070e+02,3.891159e-05,8.635377e+00
3.760000e-02,1.496026e+02,3.921996e-05,8.635303e+00
3.770000e-02,1.495982e+02,3.953079e-05,8.635228e+00
3.780000e-02,1.495937e+02,3.984408e-05,8.635153e+00
3.790000e-02,1.495892e+02,4.015986e-05,8.635077e+00
3.800000e-02,1.495847e+02,4.047813e-05,8.635002e+00
3.810000e-02,1.495801e+02,4.079890e-05,8.634925e+00
3.820000e-02,1.495756e+02,4.112220e-05,8.634849e+00
3.830000e-02,1.495710e+02,4.144803e-05,8.634771e+00
3.840000e-02,1.495663e+02,4.177641e-05,8.634694e+00
3.850000e-02,1.495617e+02,4.210735e-05,8.634616e+00
3.860000e-02,1.495570e+02,4.244086e-05,8.634538e+00
3.870000e-02,1.495524e+02,4.277696e-05,8.634459e+00
3.880000e-02,1.495476e+02,4.311565e-05,8.634380e+00
3.890000e-02,1.495429e+02,4.345696e-05,8.634300e+00
3.900000e-02,1.495381e+02,4.380090e-05,8.634220e+00
3.910000e-02,1.495334e+02,4.414747e-05,8.634140e+00
3.920000e-02,1.495285e+02,4.449670e-05,8.634059e+00
3.930000e-02,1.495237e+02,4.484859e-05,8.633978e+00
3.940000e-02,1.495189e+02,4.520317e-05,8.633896e+00
3.950000e-02,1.495140e+02,4.556043e-05,8.633814e+00
3.960000e-02,1.495091e+02,4.592041e-05,8.633732e+00
3.970000e-02,1.495041e+02,4.628310e-05,8.633649e+00
3.980000e-02,1.494992e+02,4.664853e-05,8.633566e+00
3.990000e-02,1.494942e+02,4.701670e-05,8.633482e+00
4.000000e-02,1.494892e+02,4.738764e-05,8.633398e+00
4.010000e-02,1.494842e+02,4.776135e-05,8.633314e+00
4.020000e-02,1.494791e+02,4.813785e-05,8.633229e+00
4.030000e-02,1.494740e+02,4.851715e-05,8.633144e+00
4.040000e-02,1.494689e+02,4.889926e-05,8.633058e+00
4.050000e-02,1.494638e+02,4.928421e-05,8.632972e+00
4.060000e-02,1.494586e+02,4.967200e-05,8.632885e+00
4.070000e-02,1.494535e+02,5.006264e-05,8.632798e+00
4.080000e-02,1.494483e+02,5.045616e-05,8.632711e+00
4.090000e-02,1.494430e+02,5.085256e-05,8.632623e+00
4.100000e-02,1.494378e+02,5.125186e-05,8.632534e+00
4.110000e-02,1.494325e+02,5.165408e-05,8.632446e+00
4.120000e-02,1.494272e+02,5.205922e-05,8.632357e+00
4.130000e-02,1.494218e+02,5.246730e-05,8.632267e+00
4.140000e-02,1.494165e+02,5.287834e-05,8.632177e+00
4.150000e-02,1.494111e+02,5.329234e-05,8.632087e+00
4.160000e-02,1.494057e+02,5.370933e-05,8.631996e+00
4.170000e-02,1.494003e+02,5.412932e-05,8.631904e+00
4.180000e-02,1.493948e+02,5.455232e-05,8.631813e+00
4.190000e-02,1.493893e+02,5.497834e-05,8.631720e+00
4.200000e-02,1.493838e+02,5.540741e-05,8.631628e+00
4.210000e-02,1.493783e+02,5.583953e-05,8.631535e+00
4.220000e-02,1.493727e+02,5.627471e-05,8.631441e+00
4.230000e-02,1.493671e+02,5.671299e-05,8.631347e+00
4.240000e-02,1.493615e+02,5.715436e-05,8.631253e+00
4.250000e-02,1.493559e+02,5.759884e-05,8.631158e+00
4.260000e-02,1.493502e+02,5.804644e-05,8.631063e+00
4.270000e-02,1.493445e+02,5.849719e-05,8.630967e+00
4.280000e-02,1.493388e+02,5.895110e-05,8.630871e+00
4.290000e-02,1.493330e+02,5.940817e-05,8.630774e+00
4.300000e-02,1.493272e+02,5.986843e-05,8.630677e+00
4.310000e-02,1.493214e+02,6.033189e-05,8.630580e+00
4.320000e-02,1.493156e+02,6.079856e-05,8.630482e+00
