r,Phi
1.2637814887e-01,-4.7611041985e-01
1.2657811430e-01,-4.7611007976e-01
1.2677807972e-01,-4.7610973912e-01
1.2697804515e-01,-4.7610939795e-01
1.2717801057e-01,-4.7610905625e-01
1.2737797600e-01,-4.7610871400e-01
1.2757794142e-01,-4.7610837122e-01
1.2777790685e-01,-4.7610802791e-01
1.2797787228e-01,-4.7610768406e-01
1.2817783770e-01,-4.7610733967e-01
1.2837780313e-01,-4.7610699474e-01
1.2857776855e-01,-4.7610664928e-01
1.2877773398e-01,-4.7610630328e-01
1.2897769940e-01,-4.7610595675e-01
1.2917766483e-01,-4.7610560968e-01
1.2937763025e-01,-4.7610526207e-01
1.2957759568e-01,-4.7610491393e-01
1.2977756110e-01,-4.7610456525e-01
1.2997752653e-01,-4.7610421603e-01
1.3017749195e-01,-4.7610386628e-01
1.3037745738e-01,-4.7610351599e-01
1.3057742281e-01,-4.7610316516e-01
1.3077738823e-01,-4.7610281380e-01
1.3097735366e-01,-4.7610246190e-01
1.3117731908e-01,-4.7610210947e-01
1.3137728451e-01,-4.7610175650e-01
1.3157724993e-01,-4.7610140299e-01
1.3177721536e-01,-4.7610104895e-01
1.3197718078e-01,-4.7610069437e-01
1.3217714621e-01,-4.7610033925e-01
1.3237711163e-01,-4.7609998360e-01
1.3257707706e-01,-4.7609962741e-01
